symbol,market
BRK.B,NYSE
SHEL,NYSE
SAP,NYSE
AZN,NASDAQ
ACN,NYSE
NOW,NYSE
PFE,NYSE
HSBC,NYSE
CMCSA,NASDAQ
UBER,NYSE
TTE,NYSE
NKE,NYSE
BHP,NYSE
RTX,NYSE
RY,NYSE
UL,NYSE
UPS,NYSE
SNY,NYSE
SHOP,NYSE
BUD,NYSE
TD,NYSE
BP,NYSE
DELL,NYSE
ANET,NYSE
KKR,NYSE
ABB,NYSE
MCO,NYSE
DEO,NYSE
ENB,NYSE
RELX,NYSE
GSK,NYSE
TRI,NYSE
CNI,NYSE
CP,NYSE
CMG,NYSE
BTI,NYSE
INFY,NYSE
GEV,NYSE
TDG,NYSE
APO,NYSE
CRH,NYSE
BMO,NYSE
TRV,NYSE
HLT,NYSE
BNS,NYSE
AFL,NYSE
FTNT,NASDAQ
AJG,NYSE
MSCI,NYSE
STZ,NYSE
GWW,NYSE
BK,NYSE
URI,NYSE
AMP,NYSE
AME,NYSE
LHX,NYSE
KR,NYSE
CTVA,NYSE
YUM,NYSE
KENV,NYSE
NDAQ,NASDAQ
FICO,NYSE
VRT,NYSE
SYY,NYSE
SMCI,NASDAQ
DAL,NYSE
NET,NYSE
HPQ,NYSE
QSR,NYSE
EFX,NYSE
DFS,NYSE
HPE,NYSE
FITB,NASDAQ
RJF,NYSE
DG,NYSE
HEI,NYSE
UAL,NASDAQ
MTB,NYSE
WRB,NYSE
GPN,NYSE
LPLA,NASDAQ
RF,NYSE
STX,NASDAQ
FDS,NYSE
EXPD,NASDAQ
DRI,NYSE
NTRS,NASDAQ
CINF,NASDAQ
TXT,NYSE
L,NYSE
YUMC,NYSE
H,NYSE
PSTG,NYSE
GEN,NASDAQ
HBAN,NASDAQ
KEY,NYSE
CFG,NYSE
SYF,NYSE
DPZ,NYSE
TRU,NYSE
JNPR,NYSE
JEF,NYSE
BEN,NYSE
FNF,NYSE
STIF,NYSE
CHRW,NASDAQ
HII,NYSE
GL,NYSE
AIZ,NYSE
BWXT,NYSE
SEI,NASDAQ
MKTX,NASDAQ
IVZ,NYSE
CIEN,NYSE
WH,NYSE
FN,NYSE
ALK,NYSE
TENB,NASDAQ
LNC,NYSE
QLYS,NASDAQ
WEN,NASDAQ
HGV,NYSE
WTM,NYSE
DIOD,NASDAQ
LITE,NASDAQ
TRIP,NASDAQ
FCNCA,NASDAQ
FRFHF,NYSE
PPG,NYSE
TFC,NYSE
AXTA,NYSE
CZR,NYSE
HWM,NYSE
VOO,NYSE
DOW,NYSE
AIRC,NYSE
XPO,NYSE
VALE,NYSE
RE,NYSE
SHW,NYSE
PNC,NYSE
ROKU,NASDAQ
WEC,NYSE
CMA,NYSE
LEG,NYSE
AEO,NYSE
NUE,NYSE
AOA,NYSE
AOD,NYSE
MTH,NYSE
WHR,NYSE
MBUU,NYSE
X,NYSE
DHI,NYSE
VLY,NYSE
ED,NYSE
BYD,NYSE
HOMB,NYSE
NWL,NYSE
TEX,NYSE
LSTR,NYSE
ZION,NASDAQ
AFT,NYSE
HBI,NYSE
TECK,NYSE
ATO,NYSE
BZH,NYSE
HCCI,NYSE
LGIH,NASDAQ
DTE,NYSE
CBB,NYSE
FIX,NYSE
CLH,NYSE
FI,NYSE
PPL,NYSE
PUMP,NASDAQ
TNL,NYSE
HWC,NASDAQ
VEC,NYSE
TPX,NYSE
GHC,NYSE
KMI,NYSE
STRL,NYSE
NBTB,NASDAQ
SELECT,NYSE
RHP,NYSE
PEG,NYSE
CC,NYSE
DECK,NYSE
ICL,NYSE
AWR,NYSE
KNSL,NASDAQ
AL,NYSE
MKL,NYSE
ADC,NYSE
FUN,NYSE
OSK,NYSE
UGI,NYSE
BOKF,NASDAQ
AM,NYSE
CWT,NYSE
AEE,NYSE
GTN,NYSE
MTG,NYSE
WOLW,NYSE
CCS,NYSE
LUMN,NYSE
CADE,NYSE
AIF,NYSE
ACM,NYSE
CBOE,NASDAQ
TRGP,NYSE
VIRT,NASDAQ
COLM,NASDAQ
MSEX,NASDAQ
PENN,NASDAQ
NJR,NYSE
BOC,NYSE
SR,NYSE
EIX,NYSE
TPH,NYSE
OII,NYSE
MHO,NYSE
EGBN,NASDAQ
NMIH,NASDAQ
BXS,NYSE
AECOM,NYSE
DNOW,NYSE
LBRDA,NASDAQ
DISH,NASDAQ
SATS,NASDAQ
RNR,NYSE
MDC,NYSE
WTRG,NYSE
ASB,NYSE
FTAI,NYSE
FNB,NYSE
U,NYSE
NEM,NYSE
CHX,NASDAQ
MGEE,NASDAQ
CROX,NASDAQ
CQR,NYSE
TGNA,NYSE
AXS,NYSE
PNM,NYSE
BHP,NYSE
CHH,NYSE
WABC,NASDAQ
FCFS,NASDAQ
WEX,NYSE
WCN,NYSE
SIVB,NASDAQ
HBI,NYSE
LBRDK,NASDAQ
GPRE,NASDAQ
STFC,NASDAQ
CHUY,NASDAQ
STT,NYSE
KRA,NYSE
PATH,NYSE
EPD,NYSE
OII,NYSE
CCNE,NASDAQ
AAM,NYSE
TNC,NYSE
PPBI,NASDAQ
EAT,NYSE
KWR,NYSE
O,NYSE
SRCL,NASDAQ
RUTH,NASDAQ
KRO,NYSE
VIRT,NASDAQ
AIF,NYSE
MTH,NYSE
CF,NYSE
SLM,NASDAQ
MGEE,NASDAQ
TTEK,NASDAQ
PWR,NYSE
BYD,NYSE
PNM,NYSE
WOLW,NYSE
VAL,NYSE
GVA,NYSE
WABC,NASDAQ
COLM,NASDAQ
LSTR,NYSE
FCNCA,NASDAQ
NWL,NYSE
FTAI,NYSE
